utterance,label,intent
what alarms do i have set right now,0,alarm_query
checkout today alarm of meeting,0,alarm_query
report alarm settings,0,alarm_query
see see for me the alarms that you have set tomorrow morning,0,alarm_query
is there an alarm for ten am,0,alarm_query
confirm the alarm time,0,alarm_query
show my alarms,0,alarm_query
at what time have you set alarm for me,0,alarm_query
please list active alarms,0,alarm_query
please tell me about upcoming alarms,0,alarm_query
what alarms have i set for tomorrow,0,alarm_query
have i set any alarm for today,0,alarm_query
what alarms do you have set,0,alarm_query
show me all scheduled alarms,0,alarm_query
could you tell me about the alerts i have set,0,alarm_query
show me my alarms i have set,0,alarm_query
do i have any alarms for tomorrow morning,0,alarm_query
what alarm do i have set for today,0,alarm_query
what alarms have been set for me,0,alarm_query
list all set alarms,0,alarm_query
please tell me my alarms,0,alarm_query
what is the wake up time for my alarm i have set for the flight this weekend,0,alarm_query
did i set an alarm to wake up in the morning,0,alarm_query
what times do my alarms go off,0,alarm_query
what time is my wakeup alarm set for,0,alarm_query
please read out all the alarms that are set,0,alarm_query
what time are my alarms set for,0,alarm_query
how many alarms do i have set,0,alarm_query
are there any alarms currently set,0,alarm_query
confirm alarm for tomorrow morning,0,alarm_query
do i have an alarm set for morning flight,0,alarm_query
what's my next scheduled alarm,0,alarm_query
do i have any alarms set for tomorrow,0,alarm_query
please check alarms,0,alarm_query
what alarms do i have set,0,alarm_query
do i have an alarm set,0,alarm_query
show me the list of alarms,0,alarm_query
just to confirm you set the alarm to go off at eight hundred,0,alarm_query
did i set my house alarm,0,alarm_query
what are the next three alarms set to go off,0,alarm_query
check if alarm is set for six am,0,alarm_query
is the alarm to the backdoor set and ready to go,0,alarm_query
what time do i have my alarm set for tomorrow,0,alarm_query
what's the description for the alarm at eleven am,0,alarm_query
are there any alarms set,0,alarm_query
are there any alarms set right now,0,alarm_query
are there any alarms,0,alarm_query
do i have alarms set for today,0,alarm_query
how many alarms are listed,0,alarm_query
remind me about my alarms today,0,alarm_query
list alarms,0,alarm_query
how many alarms do i have,0,alarm_query
just see for me the alarms that you have set today morning,0,alarm_query
what alarms are on right now,0,alarm_query
please tell about the alarms,0,alarm_query
review set alarms,0,alarm_query
is my work alarm set for tomorrow,0,alarm_query
what alarms are set,0,alarm_query
what time are my alarms,0,alarm_query
which alarms are set in the phone,0,alarm_query
is my alarm set for tomorrow morning,0,alarm_query
check if any alarm is there after five am,0,alarm_query
what alarms do i have set for thursday,0,alarm_query
checkout today set alarm of ten am,0,alarm_query
is my school alarm set,0,alarm_query
tell me if my alarm is set for the morning,0,alarm_query
do i have an alarm set for tomorrow,0,alarm_query
what alarms do i have,0,alarm_query
when was the last alarm set,0,alarm_query
today how many alarms do i have set,0,alarm_query
how many alarms do i have set for morning hours between six and nine am,0,alarm_query
what is tomorrow's alarm time set to,0,alarm_query
please let me know the morning alarm time for weekdays,0,alarm_query
read me my alarms,0,alarm_query
is there any alarm after five am,0,alarm_query
what days are my alarms set for,0,alarm_query
confirm i have set an alarm for six am,0,alarm_query
what alarms did i set,0,alarm_query
what alarms do i got,0,alarm_query
show me the alarms that are set,0,alarm_query
tell me about alarms,0,alarm_query
checkout today third set alarm,0,alarm_query
how many alarms are currently set,0,alarm_query
are there any alarms set what are they,0,alarm_query
is my alarm set,0,alarm_query
tell me what alarms are set for me,0,alarm_query
next alarm,0,alarm_query
when is the next alarm,0,alarm_query
show alarms,0,alarm_query
let me know about any alarms set today,0,alarm_query
confirm my alarm settings,0,alarm_query
give me the alarm times for the next two days,0,alarm_query
what alarms are set in the house,0,alarm_query
do i have any alarms,0,alarm_query
have i set any alarms in the morning,0,alarm_query
check if i have set any alarm for morning,0,alarm_query
list all of my upcoming alarms,0,alarm_query
my alarms,0,alarm_query
do i have any alarms set for six am tomorrow,0,alarm_query
how many alarms are currently on my phone,0,alarm_query
any alarms currently listed,0,alarm_query
did i remember to set a reminder alarm for my next doctor's appointment,0,alarm_query
what time is set for my wake up alarm,0,alarm_query
what alarms are set for this week,0,alarm_query
what is on my alarm schedule,0,alarm_query
show me all of my active alarms,0,alarm_query
what alarms are currently set,0,alarm_query
review the alarms i have,0,alarm_query
what's the alarm situation for tomorrow,0,alarm_query
i want to see all set alarms,0,alarm_query
do i have an alarm set for today,0,alarm_query
at what time is my alarm set,0,alarm_query
can you tell me if i have any alarms set,0,alarm_query
did i set an alarm to have tablets in the noon,0,alarm_query
which alarms do i have,0,alarm_query
show me the alarms i set,0,alarm_query
what time is my alarm set for,0,alarm_query
is my wake up alarm set a six am,0,alarm_query
what home alarms have been set,0,alarm_query
please read me my alarms,0,alarm_query
what times are my alarms set for,0,alarm_query
when will my alarm go off in the morning,0,alarm_query
do i have any alarms set for today,0,alarm_query
show me what alarm times i've set for the week,0,alarm_query
list current set alarms,0,alarm_query
are there any alarms going off today,0,alarm_query
show me the alarms i've set,0,alarm_query
my set alarms,0,alarm_query
what alarms will wake me up tomorrow,0,alarm_query
have i got any alarms set,0,alarm_query
what alarms i have set,0,alarm_query
tell me about the alarm timings,0,alarm_query
alarms,0,alarm_query
when does my alarm go off,0,alarm_query
would you please check to see if i've set my alarm for tomorrow morning,0,alarm_query
alarm status,0,alarm_query
what time have you set the alarm,0,alarm_query
list my different alarm,0,alarm_query
what time i am waking up tomorrow,0,alarm_query
what alarms did i set today,0,alarm_query
what alarms are coming up,0,alarm_query
if there any alarm is set then let me know,0,alarm_query
review all alarms,0,alarm_query
is the alarm set for tomorrow morning,0,alarm_query
what time is alarm set for,0,alarm_query
do i have alarms set,0,alarm_query
what time is my alarm set for tomorrow morning,0,alarm_query
is my reminder alarm set for dance class,0,alarm_query
when is my alarm set for,0,alarm_query
what time will my alarm wake me up,0,alarm_query
how many alarms are set,0,alarm_query
how many alarms have i set,0,alarm_query
what time will my alarm go off today,0,alarm_query
please let me know the alarm kept for tuesday's meeting,0,alarm_query
let me know about the alarms you set,0,alarm_query
what alarms do i have set for today,0,alarm_query
what's my next alarm,0,alarm_query
let me see my alarms,0,alarm_query
delete alarm,1,alarm_remove
remove the latest alarm,1,alarm_remove
stop wake up calls for this week,1,alarm_remove
remove the first alarm,1,alarm_remove
remove my earliest alarm for tomorrow,1,alarm_remove
kickball is over i do not need the alarm for kickball on wednesday evening any longer,1,alarm_remove
remove all alarms,1,alarm_remove
take off my alarms,1,alarm_remove
cancel my seven am alarm,1,alarm_remove
