utterance,label,intent
can i make a reservation for redrobin,0.0,accept_reservations
is it possible to make a reservation at redrobin,0.0,accept_reservations
does redrobin take reservations,0.0,accept_reservations
are reservations taken at redrobin,0.0,accept_reservations
does redrobin do reservations,0.0,accept_reservations
can acero take reservation,0.0,accept_reservations
can you make reservations at hodak's,0.0,accept_reservations
tell me if per se in nyc takes reservations,0.0,accept_reservations
tell me if the cheshire takes reservations,0.0,accept_reservations
will qdoba take reservations,0.0,accept_reservations
does burger king accept reservations,0.0,accept_reservations
does gramercy tavern in new york accept reservations,0.0,accept_reservations
does acero in maplewood allow reservations,0.0,accept_reservations
does cielo take reservations,0.0,accept_reservations
find out if la tour d'argent in paris takes reservations,0.0,accept_reservations
does tony's in downton let you make reservations,0.0,accept_reservations
does gramercy tavern accept reservations,0.0,accept_reservations
does mcdonalds take reservations,0.0,accept_reservations
can you make reservations at steak 'n' shake,0.0,accept_reservations
will nobu take reservations,0.0,accept_reservations
do they take reservations at carrabbas,0.0,accept_reservations
do they take reservations at applebees,0.0,accept_reservations
do they take reservations at olive garden,0.0,accept_reservations
do they take reservations at buffalo wild wings,0.0,accept_reservations
do they take reservations at outback steakhouse,0.0,accept_reservations
i need to know if angelos takes reservations,0.0,accept_reservations
does applebees in trenton do reservations,0.0,accept_reservations
does luigi's take reservations,0.0,accept_reservations
please find out if napolis takes lunch reservations,0.0,accept_reservations
does hannahs in galloway take reservations,0.0,accept_reservations
does stanleys take brunch reservations,0.0,accept_reservations
tell me if luigis in brick takes reservations,0.0,accept_reservations
i need to know if capones does reservations in trenton,0.0,accept_reservations
does marios in brooklyn take reservations,0.0,accept_reservations
do you know if bottlenecks takes dinner reservations,0.0,accept_reservations
do you know if whether or not zeus does reservations,0.0,accept_reservations
can you let me if zeus accepts reservations,0.0,accept_reservations
i need to find out do you know if zeus does reservations,0.0,accept_reservations
please tell me does zeus do reservations,0.0,accept_reservations
can you tell me if zeus does reservations,0.0,accept_reservations
can i get a reservation at melting pot tomorrow,0.0,accept_reservations
what locations of applebee's take reservations,0.0,accept_reservations
can i get a reservation at champs,0.0,accept_reservations
where can i find jimmy john's reservations,0.0,accept_reservations
how many culver's take reservations,0.0,accept_reservations
is there evening reservations available in the eve,0.0,accept_reservations
do you know if bahama breeze does reservations,0.0,accept_reservations
do you know if ruth chris does reservations,0.0,accept_reservations
do you know if cheese cake factory does reservations,0.0,accept_reservations
do you know if benihana does reservations,0.0,accept_reservations
do you know if olive garden does reservations,0.0,accept_reservations
does the steakhouse on main st take reservations,0.0,accept_reservations
does sidetracks take reservations,0.0,accept_reservations
are reservations allowed at burger king,0.0,accept_reservations
does black rock take reservations,0.0,accept_reservations
can i make reservations at applebee's or no,0.0,accept_reservations
does buffalo wild wings do reservations,0.0,accept_reservations
does minnies cafe in modesto take reservations,0.0,accept_reservations
does bjs take reservations,0.0,accept_reservations
will they take reservations at chillis,0.0,accept_reservations
does pho king in ceres take reservations,0.0,accept_reservations
can applebees take any reservations,0.0,accept_reservations
does arbys in lakewood take reservations,0.0,accept_reservations
does minnis take reservations,0.0,accept_reservations
do they take reservations at bjs,0.0,accept_reservations
does buffalo wild wings take reservations,0.0,accept_reservations
does buffalo wild wings in concord take reservations,0.0,accept_reservations
will they take reservations at torris,0.0,accept_reservations
does black bear diner in tracy take reservations,0.0,accept_reservations
does chillis take reservations,0.0,accept_reservations
do they take reservations at bar tartine,0.0,accept_reservations
do they take reservations at mcdonalds,0.0,accept_reservations
do they take reservations at the progress,0.0,accept_reservations
does tartine in san francisco take reservations,0.0,accept_reservations
does cowgirl creamery in san francisco take reservations,0.0,accept_reservations
do they take reservations at state bird,0.0,accept_reservations
does nopa in san francisco take reservations,0.0,accept_reservations
does bar tartine in san francisco take reservations,0.0,accept_reservations
do they take reservations at arby's,0.0,accept_reservations
does pizzeria delfina in san francisco take reservations,0.0,accept_reservations
does iron skillet at the truck stop trake reservations,0.0,accept_reservations
does the zen garden in la take reservations,0.0,accept_reservations
does moes in la except rerservations,0.0,accept_reservations
does ruby tuesday accept reservations,0.0,accept_reservations
can i make a reservation at chevy's,0.0,accept_reservations
is it possible to make reservations in advance for macaroni grill,0.0,accept_reservations
is it possible to make reservations with famous dave's restaurant,0.0,accept_reservations
is it possible to make reservations at chili's,0.0,accept_reservations
does chili's take reservations,0.0,accept_reservations
can you tell me if ruby tuesday does reservations,0.0,accept_reservations
does olive garden take reservations,0.0,accept_reservations
do you know whether ihop does reservations,0.0,accept_reservations
does michael's accept reservations,0.0,accept_reservations
do they accept reservations at michael's,0.0,accept_reservations
can you make a reservation at michael's,0.0,accept_reservations
can i make a reservation at michael's,0.0,accept_reservations
does the restaurant michael's take reservations,0.0,accept_reservations
do they take reservations at mendy's,0.0,accept_reservations
do you know if outback allows reservations,0.0,accept_reservations
do they take reservations at red robin,0.0,accept_reservations
why is there a hold on my american saving bank account,1.0,account_blocked
i am nost sure why my account is blocked,1.0,account_blocked
why is there a hold on my capital one checking account,1.0,account_blocked
i think my account is blocked but i do not know the reason,1.0,account_blocked
can you tell me why is my bank account frozen,1.0,account_blocked
why is there a hold on my edward jones account,1.0,account_blocked
why am i locked out of my bank account,1.0,account_blocked
why in the world am i locked out of my bank account,1.0,account_blocked
what is the reason for frozen status on my bank account,1.0,account_blocked
check for why is my bank account frozen,1.0,account_blocked
i don't know the reason my account is blocked,1.0,account_blocked
find out for me why is my bank account frozen,1.0,account_blocked
can you find out why is my bank account frozen,1.0,account_blocked
why is there a hold on my discover account,1.0,account_blocked
tell me why am i locked out of my bank account,1.0,account_blocked
what is the reason i am locked out of my bank account,1.0,account_blocked
why is my account blocked,1.0,account_blocked
find out the reason why am i locked out of my bank account,1.0,account_blocked
i think my account is block but i am not sure why,1.0,account_blocked
why is there a hold on my charles swab account,1.0,account_blocked
my chase account has a hold why,1.0,account_blocked
what's the reason for a hold on my wells fargo account,1.0,account_blocked
can you find the reason for the block on my account,1.0,account_blocked
"there's a hold on my chase account, but why",1.0,account_blocked
tell me the reason there is a hold or block on my account,1.0,account_blocked
why does my credit union account have a hold on it,1.0,account_blocked
figure out why there is a block on my account please,1.0,account_blocked
why am i seeing a hold on my boa account,1.0,account_blocked
"my account has been blocked, but i have no idea why",1.0,account_blocked
why is there a block on my account,1.0,account_blocked
can you please unlock my bank account,1.0,account_blocked
please let me into my bank account,1.0,account_blocked
